epoch,SemSeg_mIoU,Normals_mean,Depth_rmse,Delta_m_percent
25,24.7025,31.6175,0.887,-38.49064103056681
30,27.979,30.3053,0.8275,-30.80070293023076
35,30.6871,29.8463,0.7875,-25.830619190864848
40,32.6926,29.331,0.7557,-21.78205577709075
45,33.9863,28.7546,0.768,-20.525382823701985
50,36.0237,28.5764,0.798,-20.15859994532684
55,36.8298,28.2068,0.7365,-15.75811457207139
60,38.094,28.0182,0.7083,-12.97901988481955
65,38.7129,27.7348,0.7029,-11.779005744631348
70,39.5545,27.5739,0.7173,-11.60539388160806
75,39.7983,27.6165,0.7222,-11.72250398067215
80,40.3121,27.2082,0.687,-8.875338461999123
85,40.5385,27.066,0.6903,-8.655207488826631
90,40.8299,26.959,0.693,-8.40160710295065
95,40.9684,26.9551,0.6988,-8.584459744630097
100,41.0552,26.8816,0.6821,-7.53683050420241
105,41.3107,26.6489,0.689,-7.349006571176946
110,41.4796,26.7328,0.6927,-7.524968530690425
115,41.4473,26.5446,0.6738,-6.293969942121056
120,41.6848,26.4817,0.6698,-5.799606182092508
125,41.8795,26.3812,0.6933,-6.718066515735359
130,41.7065,26.3195,0.6853,-6.353724190335616
135,42.0087,26.2447,0.6745,-5.434870331629419
140,42.1153,26.1354,0.6678,-4.839886440957357
145,42.05,26.0597,0.6812,-5.48149621107661
150,42.0928,26.0169,0.6846,-5.561373194897601
155,41.8338,25.9721,0.6759,-5.255617983789222
160,42.0018,25.9343,0.6697,-4.740085781911907
165,42.3023,25.913,0.6693,-4.441930101998559
170,42.3741,25.814,0.663,-3.911262862383742
175,42.4154,25.8002,0.6655,-3.9875787360262596
180,42.3829,25.8053,0.6584,-3.651838293633261
185,42.3818,25.7282,0.6647,-3.8689802351740323
190,42.3179,25.7252,0.6744,-4.422233587921426
195,42.34,25.6809,0.6602,-3.6002413225318577
200,42.4441,25.6931,0.6572,-3.3763327208261233
205,42.2575,25.6686,0.6608,-3.681292630296791
210,42.452,25.6546,0.6601,-3.465026347381998
215,42.4394,25.6211,0.6651,-3.687160982991523
220,42.5053,25.5966,0.6719,-3.9517354886081537
225,42.433,25.5667,0.6623,-3.4676321525813223
230,42.4162,25.5642,0.6667,-3.7069470365333768
235,42.5089,25.5282,0.6647,-3.474523554864955
240,42.4821,25.5259,0.6639,-3.4514954211225835
245,42.4171,25.5876,0.6619,-3.4901663648085126
250,42.4263,25.5529,0.6614,-3.4062250864944463
255,42.4434,25.5053,0.6625,-3.3804190070769873
260,42.4507,25.5448,0.6622,-3.416129090736925
265,42.4853,25.517,0.6644,-3.461997664654484
270,42.449,25.5224,0.6576,-3.145433603878922
275,42.464,25.4853,0.6598,-3.1938784743474353
280,42.5017,25.5058,0.6638,-3.4010464464407364
285,42.4554,25.4659,0.6722,-3.818611215307848
290,42.4761,25.4979,0.6638,-3.410574427658727
295,42.4474,25.4969,0.6573,-3.0941158281440218
299,42.4605,25.5016,0.6603,-3.246444211217795

BEST(epoch 295),42.4474,25.4969,0.6573,-3.0941158281440218
