epoch,SemSeg_mIoU,Human_mIoU,Saliency_mIoU,Normals_rmse,Delta_m_percent
0,2.2202,10.5287,34.396,65.6112,-122.41121182028026
5,24.2788,38.9647,55.399,24.2627,-36.781261598912046
10,58.5282,49.0494,58.83,21.8021,-15.171650509680628
15,64.2378,52.4198,60.511,20.2541,-8.859684065639655
20,65.6284,54.107,61.595,19.5715,-6.27705174467317
25,66.8526,55.2672,62.295,18.9367,-4.189524414124598
30,67.2437,56.1746,63.441,18.6677,-2.8440092459511708
35,67.4974,56.622,63.562,18.4483,-2.215286331390015
40,68.5886,57.3547,63.541,17.9948,-0.8911244366503103
45,68.4347,57.6256,63.556,18.108,-0.9904833053366806
50,68.7421,57.3993,63.862,17.7615,-0.3627454531837949
55,68.8108,58.1038,64.056,17.6224,0.21850611087379598
60,69.0575,58.4077,64.579,17.4565,0.8734541836225188
65,68.9997,58.7295,64.674,17.2921,1.2486650815652534
70,69.2053,58.8403,64.789,17.2202,1.5160082047064292
75,69.2087,58.7267,64.753,17.0668,1.6703912682435686
80,69.3455,59.1149,64.77,17.2324,1.6544181269374938
85,69.576,59.2182,64.891,17.0328,2.1080586331524978
90,69.4203,59.4473,64.513,17.2738,1.655781816505343
95,69.3747,59.285,65.015,16.9858,2.175253394105592
100,69.53,59.5034,65.335,16.845,2.645374116333738
105,69.279,59.8272,65.028,16.9879,2.3608231373869257
110,69.6301,59.461,65.209,16.7673,2.723067637110022
115,69.4148,59.9525,65.473,16.876,2.796022109951809
120,69.4322,59.7267,65.251,16.9786,2.4795915320375577
125,69.5408,59.5686,65.071,16.8538,2.5576147381043666
130,69.3335,59.9054,65.373,16.4805,3.256894034419924
135,69.7456,59.7735,65.369,16.6838,3.0725002878626726
140,69.2897,59.8905,65.603,16.6878,3.0384109628314446
145,69.6581,60.278,65.388,16.5049,3.500115720773727
150,69.5791,60.0738,65.275,16.7313,3.0280203004393003
155,69.6626,60.1608,65.39,16.5576,3.3819633839031082
160,69.7004,60.3023,65.476,16.4529,3.633286925588703
165,69.3202,60.2676,65.072,16.8409,2.776079458017617
170,69.4557,60.1112,64.886,16.4275,3.263891604575252
175,69.5258,60.2038,65.349,16.5336,3.365385933686909
180,69.572,60.4081,65.205,16.4372,3.5414168593723496
185,69.4318,60.2506,65.377,16.5437,3.346488944706088
190,69.4966,60.269,65.259,16.6352,3.2034111967089003
195,69.4815,60.3137,65.137,16.5941,3.2241002687405746
200,69.429,60.3361,65.118,16.7022,3.055606570045537
205,69.3816,60.4071,65.563,16.366,3.7127888692393363

BEST(epoch 205),69.3816,60.4071,65.563,16.366,3.7127888692393363
