epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
0,1.96,4.04,19.57,88.34,-162.693
5,19.50,31.68,52.02,24.95,-43.811
10,51.21,47.24,56.14,22.87,-21.188
15,61.60,50.34,57.70,21.80,-13.958
20,63.70,52.78,58.86,20.53,-9.960
25,64.95,53.79,59.70,19.94,-7.930
30,66.15,54.46,60.34,19.27,-6.024
35,66.85,54.90,60.88,19.10,-5.133
40,67.20,55.62,60.95,18.86,-4.350
45,67.23,56.09,61.00,18.80,-4.046
50,67.64,56.37,61.49,18.49,-3.153
55,68.27,56.46,62.15,18.41,-2.506
60,67.98,57.06,62.03,18.30,-2.267
65,68.17,57.19,61.78,18.36,-2.327
70,68.33,57.47,62.35,18.03,-1.467
75,68.31,57.69,62.25,18.03,-1.426
80,68.34,57.81,62.59,17.91,-1.063
85,68.35,57.81,62.37,17.75,-0.925
90,68.51,57.83,62.97,17.85,-0.756
95,68.42,58.02,63.16,17.79,-0.553
100,68.47,58.21,62.98,17.75,-0.474
105,68.62,58.17,63.15,17.68,-0.269
110,68.62,58.37,63.29,17.60,-0.021
115,68.60,58.58,63.28,17.57,0.094
120,68.56,58.49,63.33,17.49,0.174
125,68.56,58.54,63.52,17.50,0.257
130,68.65,58.45,63.51,17.56,0.166
135,68.69,58.64,63.25,17.42,0.348
140,68.53,58.80,63.56,17.52,0.339
145,68.58,58.85,63.70,17.33,0.698
150,68.59,58.80,63.47,17.33,0.589
155,68.64,58.90,63.53,17.52,0.408
160,68.66,58.96,63.62,17.39,0.657
165,68.73,59.09,63.76,17.31,0.902
170,68.57,58.98,63.58,17.26,0.796
175,68.55,59.05,63.47,17.42,0.550
180,68.60,59.04,63.87,17.38,0.781
185,68.62,59.04,63.94,17.38,0.816
190,68.67,59.08,63.86,17.41,0.777
195,68.66,59.06,63.66,17.27,0.880
200,68.60,59.06,63.82,17.20,1.019
205,68.52,59.19,63.80,17.05,1.242
210,68.67,59.07,63.76,17.20,1.025
215,68.58,59.20,63.86,17.17,1.126
220,68.58,59.14,63.82,17.19,1.058
225,68.54,59.20,63.79,17.13,1.139
230,68.64,59.21,63.76,17.24,1.015
235,68.59,59.16,63.76,17.24,0.976
240,68.53,59.14,63.84,17.11,1.159
245,68.63,59.09,63.96,17.26,1.015
250,68.53,59.09,63.96,17.27,0.964
255,68.57,59.23,63.81,17.13,1.170
260,68.59,59.24,63.90,17.14,1.204
265,68.58,59.22,63.82,17.15,1.146
270,68.54,59.21,63.80,17.12,1.161
275,68.65,59.22,63.72,17.18,1.090
280,68.54,59.21,63.89,17.18,1.113
285,68.59,59.20,63.80,17.16,1.120
290,68.51,59.19,63.81,17.11,1.159
295,68.53,59.21,63.83,17.09,1.211
299,68.64,59.24,63.87,17.07,1.308

BEST(epoch 299),68.64,59.24,63.87,17.07,1.308
