epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
195,74.5771,63.1496,66.991,16.4529,-3.5450949422306732
200,74.56,63.0627,66.808,16.4912,-3.712922147384364
205,74.482,62.9761,67.051,16.58,-3.823854671299487
210,74.5797,63.1135,67.04,16.5753,-3.736731827927698
215,74.5755,63.2151,66.899,16.4899,-3.61458816140272
220,74.5564,63.0642,67.039,16.4443,-3.5523988591869156
225,74.6065,63.2289,66.9,16.4859,-3.5924751244377746
230,74.6328,63.1542,66.945,16.5206,-3.651247421069965

BEST(epoch 195),74.5771,63.1496,66.991,16.4529,-3.5450949422306732
