epoch,SemSeg_mIoU,Human_mIoU,Saliency_mIoU,Normals_rmse,Delta_m_percent
0,1.3011,3.2695,26.751,57.2826,-117.16203882968176
5,20.8529,36.2898,54.701,24.4487,-39.67403248331499
10,58.3094,48.5021,57.845,22.4317,-16.744824294437628
15,64.2939,52.0162,59.912,21.1504,-10.48885828602664
20,65.8254,53.2697,61.044,20.2677,-7.73126548370903
25,67.337,54.1755,61.835,19.2316,-5.044751844249955
30,68.1016,55.4189,62.585,18.7731,-3.3198166882431193
35,68.7152,56.1044,62.805,18.3807,-2.1807315648035783
40,69.0382,56.0915,63.698,18.2024,-1.4596815936720742
45,69.3193,56.6562,63.892,18.1192,-0.9336271167134579
50,69.2702,57.2409,63.994,18.0207,-0.5379260494464552
55,69.5951,57.1587,64.45,17.9984,-0.2363933813660709
60,69.7488,57.6145,64.474,17.7769,0.322551804593266
65,69.7099,57.6708,64.467,17.4355,0.8029610319464812
70,70.0318,58.0805,64.928,17.6254,1.0087393274589134
75,70.0314,58.3452,65.256,17.5021,1.4184965839214345
80,70.1581,58.5996,64.899,17.2317,1.8013605622864428
85,70.122,58.7624,64.684,17.5097,1.3806892610516688
90,69.8834,58.7595,65.203,17.5178,1.487597567973885
95,69.836,58.7001,65.253,17.3346,1.7209049194614892
100,70.1926,58.9324,65.317,17.1,2.2993629846561023
105,70.2113,58.8708,65.296,17.0194,2.3851631312175123
110,70.2038,59.1653,65.164,17.1213,2.3065665158573596
115,70.1841,59.2206,65.356,17.2908,2.1627374090318443
120,70.233,59.3288,65.303,16.725,2.990499252767415
125,70.2006,59.1901,65.242,16.736,2.882694856038775
130,70.4644,59.472,65.375,16.7465,3.1333382789852995
135,70.2615,59.5475,65.109,16.7207,3.017581018951116
140,70.3155,59.7957,65.6,16.7127,3.345863237320542
145,70.2376,59.5781,65.202,16.904,2.8033247765938816
150,70.2758,59.4119,65.29,16.688,3.086227611691773
155,70.4111,59.668,65.435,16.654,3.34537838774212
160,70.3524,59.7157,65.483,16.6229,3.4053121967138513
165,70.4163,59.8005,65.471,17.0616,2.8481788708931086
170,70.4214,59.9021,65.207,16.6006,3.426582597349688
175,70.4736,59.8494,65.501,16.6846,3.4257468150346346
180,70.2943,59.8582,65.546,16.6542,3.4229412825514496
185,70.3907,59.9748,65.206,16.663,3.357298501727421
190,70.387,59.9064,65.308,16.5233,3.563560251486312
195,70.4278,60.0051,65.434,16.6241,3.5288674642144406
200,70.4971,59.8757,65.293,16.4818,3.6438416336637633
205,70.6305,60.1115,65.434,16.5015,3.8177792380045603
210,70.4462,59.9574,65.246,16.5663,3.5214869558968234
215,70.3229,60.06,65.32,16.6052,3.4925942113387043
220,70.3912,59.9405,65.488,16.5825,3.5687017884288053
225,70.4551,60.1168,65.451,16.6347,3.5761829941683865
230,70.4266,60.1229,65.367,16.4934,3.730941146135887
235,70.4098,60.0357,65.407,16.5527,3.6230309262214786
240,70.3415,60.0197,65.5,16.4672,3.7474043172536593
245,70.4343,60.0571,65.367,16.5001,3.6979219648496153
250,70.3747,59.9947,65.495,16.6333,3.516577242008613
255,70.4665,60.1264,65.506,16.4363,3.8823672862580016
260,70.4208,60.0647,65.329,16.4048,3.8133138841403875
265,70.431,60.1607,65.46,16.4949,3.783039654354023
270,70.414,60.1012,65.335,16.4073,3.8244466310921252
275,70.4249,60.1538,65.332,16.5539,3.6445808217481828
280,70.4215,60.1689,65.367,16.3938,3.8861777332892102
285,70.3979,60.1315,65.331,16.4994,3.7009554244186513
290,70.4376,60.131,65.357,16.4926,3.7354059628882004
295,70.3996,60.1326,65.402,16.5428,3.670121736048251
299,70.4441,60.0772,65.395,16.5109,3.7058831583369796

BEST(epoch 280),70.4215,60.1689,65.367,16.3938,3.8861777332892102
