epoch,SemSeg_mIoU,Human_mIoU,Saliency_mIoU,Normals_rmse,Delta_m_percent
0,0.9032,5.0724,35.612,83.8128,-149.93833556561242
5,28.8571,37.9188,53.942,24.4872,-36.39701715625432
10,60.0714,49.6204,57.47,22.8583,-16.381828781320852
15,64.7557,52.4746,58.901,21.5277,-11.062311128541607
20,66.277,53.84,60.446,19.9809,-7.173842056272433
25,67.1083,54.7572,61.064,19.3664,-5.3916761784863345
30,67.8549,54.9106,62.197,18.7535,-3.7450783594370236
35,68.2894,56.0598,62.899,18.7882,-2.886346559046334
40,68.6419,55.9801,63.053,18.2965,-2.041596142594105
45,69.0917,56.5638,63.402,18.0331,-1.1322758752202422
50,69.3455,56.9525,63.62,18.6286,-1.62201357559838
55,69.2581,57.3531,63.877,18.2901,-0.9188377040341983
60,69.4137,57.2626,63.848,17.7519,-0.1603725885269927
65,69.5698,57.4952,64.404,17.6658,0.33430603791889346
70,69.6255,57.613,64.508,17.6438,0.47488501731975413
75,69.5349,57.9738,64.038,17.4857,0.6183306187621603
80,69.9585,58.3072,64.471,17.5548,0.9879681316800146
85,69.9733,58.3799,64.61,17.353,1.3593003637009455
90,70.1917,58.5937,64.863,17.2925,1.7124569178576818
95,70.1377,58.4769,64.857,17.3006,1.6315460579425831
100,70.1302,58.8174,65.072,17.2737,1.8898402512687595
105,70.2601,58.8637,64.975,17.4392,1.6877112142526636
110,69.9663,59.1037,64.757,17.3804,1.6697036813255655
115,70.0686,58.9114,64.91,17.172,1.981402977991254
120,70.274,59.0719,65.103,17.3613,1.936626325105427
125,70.1812,59.4007,64.995,17.1942,2.224005009679205
130,70.1896,59.3639,64.998,17.0939,2.3530150687388227
135,70.3341,59.4582,64.915,17.2432,2.2038445217806633
140,70.2858,59.4815,65.077,16.9593,2.65520394877329
145,70.4384,59.6116,64.871,16.9827,2.649332815495985
0,0.9845,5.3223,35.498,85.3199,-151.94961313349228
5,30.3312,37.9752,53.64,24.4738,-35.928379248863926
10,60.37,49.5583,57.383,22.8695,-16.346292871599942
15,64.7091,52.3785,58.829,21.0113,-10.428888356176815
20,66.3135,53.834,60.372,19.8842,-7.057828736109256
25,67.19,54.8034,60.958,19.444,-5.493095978834848
30,67.9717,54.8752,62.108,18.7161,-3.6995772539399194
35,68.3333,56.0656,62.707,18.8018,-2.963580976999446
40,68.805,56.0494,62.895,18.28,-1.993350074063263
45,69.2007,56.6565,63.187,17.9781,-1.064000511608823
50,69.4741,56.9489,63.456,18.6011,-1.6031312963324371
55,69.4204,57.4203,63.739,18.2382,-0.8144689474745167
60,69.512,57.3914,63.764,17.7054,-0.04080358429297089
65,69.6587,57.5771,64.241,17.6462,0.36234636670564957
70,69.6776,57.5907,64.448,17.6958,0.3888619426717848
75,69.5931,57.9354,63.964,17.4924,0.585485508833659
80,70.0199,58.3597,64.505,17.4028,1.2570965465691566
85,69.9922,58.3138,64.495,17.3034,1.3625404451516157
90,70.2039,58.5895,64.76,17.2852,1.6841561677796317
95,70.1264,58.5446,64.78,17.3224,1.5934696342501158
100,70.1005,58.9071,65.004,17.3143,1.8312545611418203
105,70.2467,58.905,64.89,17.4548,1.643614251640962
110,69.9639,59.1548,64.717,17.5375,1.4548418842197004
115,70.1326,58.9683,64.928,17.1396,2.08047088769735
120,70.3521,59.0241,65.167,17.3432,1.9972235270660763
125,70.1914,59.4198,64.989,17.1436,2.3034987351345517
130,70.1868,59.3541,64.997,17.1278,2.3004545787440036
135,70.3661,59.4471,64.978,17.2363,2.2461266046353257
140,70.3196,59.516,65.127,16.9403,2.7281845562658398
145,70.4331,59.6363,64.921,16.9665,2.6999179956815067
150,70.3258,59.7136,64.998,17.2326,2.3518841300050655
155,70.3948,59.62,65.114,16.7508,3.0565607922830518
160,70.2716,59.5876,64.762,17.0806,2.3976960063686192
165,70.4019,59.692,64.908,16.7861,2.956558978876119
170,70.19,59.7176,64.965,16.7225,2.999408764146372
175,70.3201,59.5949,65.076,16.9969,2.6610295906935764
180,70.3507,59.7278,65.031,16.6887,3.1367879755071755
185,70.2225,59.7585,64.944,16.6885,3.0668891642759433
190,70.2923,59.8989,64.896,16.9529,2.762447983964372
195,70.3611,59.7366,64.864,16.9296,2.742106236463693
200,70.3399,59.9756,64.971,16.8642,2.964588343910579
205,70.2745,59.8849,65.146,16.6017,3.3390080786915597
210,70.4169,59.8911,65.144,16.5347,3.4868881951982984
215,70.4328,59.9836,65.109,16.679,3.315358106522466
220,70.337,59.9654,65.145,16.8371,3.0668612502679884
225,70.3532,59.8547,64.949,16.5672,3.3250978987908533

BEST(epoch 210),70.4169,59.8911,65.144,16.5347,3.4868881951982984
