epoch,SemSeg_mIoU,Human_mIoU,Saliency_mIoU,Normals_rmse,Delta_m_percent
0,1.9275,3.3506,35.237,64.2213,-123.14690500683305
5,24.5487,36.8493,54.425,24.1236,-37.731835634923016
10,59.6969,49.6286,57.639,22.5049,-15.958405394668663
15,64.9326,52.6777,59.686,20.5244,-9.203968214269675
20,66.5217,54.1581,61.153,19.9044,-6.564502533697482
25,67.9107,54.6068,62.241,18.9478,-4.099630271188191
30,68.5765,55.3687,63.039,18.7922,-3.0079688591116756
35,68.9601,56.2212,63.354,18.2623,-1.6576391975820308
40,69.1928,56.6834,64.104,18.136,-0.9080692651891086
45,69.4141,57.1893,64.05,17.8359,-0.22568070986151728
50,69.4213,57.265,64.294,17.7918,-0.033256784384705015
55,69.7291,57.8313,64.542,17.6781,0.5674589364438418
60,69.6161,57.8082,64.468,17.7298,0.41450481420889096
65,69.87,58.1862,64.838,17.4257,1.2329615171890569
70,69.9568,58.3143,64.892,17.6761,0.9902535787910319
75,70.1555,58.4822,65.323,17.5301,1.5078729081833373
80,69.9309,58.7956,64.613,17.2487,1.6576451685415716
85,69.9842,58.8462,64.806,17.2966,1.7086442582743653
90,69.9661,59.0311,65.355,17.3933,1.8621508886957925
95,69.9192,59.0643,65.112,17.5504,1.542115246202979
100,69.8984,59.0126,65.221,17.2062,2.0360665015220296
105,70.0629,59.2918,65.067,17.5234,1.7069239724295977
110,69.8504,59.4272,64.865,16.8869,2.4870483912999264
115,70.0134,59.6577,65.15,16.9134,2.7181351107281273
120,70.1138,59.1806,65.177,17.0986,2.316058604654507
125,70.2275,59.4672,65.249,16.7221,3.026705493600522
130,70.0697,59.7315,65.144,16.7339,3.0161846197973454
135,70.0029,59.73,65.174,16.654,3.113917958483789
140,70.0222,59.6387,65.511,16.7847,3.0375342909752536
145,70.0478,59.9295,65.47,16.807,3.1169839023078514
150,69.9936,59.9266,65.379,16.9836,2.813477708656999
155,70.0288,59.7734,65.229,16.4905,3.390587086339769
160,69.9917,59.955,65.556,16.6445,3.3669643405014376
165,70.1484,60.0444,65.608,16.646,3.480104159361022
170,70.0999,60.1205,65.282,16.6994,3.2877796600732077
175,70.0614,60.0717,65.453,16.8202,3.1542658942653548
180,70.0506,59.995,65.215,16.7922,3.062811040289349
185,70.0111,60.139,65.23,16.4111,3.6424520720474023
190,70.011,60.0378,65.315,16.853,3.0208694716504234
195,70.0452,60.0926,65.314,16.4497,3.6163855931787796
200,70.0876,60.1496,65.535,16.5809,3.5612531430543957
205,70.0924,60.213,65.429,16.4658,3.7062579898497607
210,69.946,60.0654,65.361,16.5402,3.4614471269997074
215,70.0372,60.1617,65.527,16.5176,3.6322462204758628
220,69.9066,60.1426,65.357,16.4937,3.541043090137757
225,69.9113,60.1365,65.4,16.6103,3.3953554611343972
230,69.9433,60.2233,65.337,16.4459,3.6457519112610406
235,69.9587,60.1607,65.436,16.5839,3.4739183830814957
240,70.0013,60.2026,65.545,16.4982,3.669609877718421
245,70.0236,60.204,65.444,16.4815,3.6612059016421457
250,69.9415,60.1903,65.457,16.4967,3.6092030087133575
255,70.0006,60.2607,65.359,16.505,3.6087641983239647
260,70.0148,60.2686,65.477,16.3891,3.8257897445414817
265,69.9917,60.3229,65.485,16.4135,3.8083794165713925
270,70.043,60.2443,65.475,16.3937,3.819268313302189
275,70.0028,60.3145,65.354,16.4769,3.6683887188347053
280,69.9545,60.2618,65.462,16.4725,3.6785738660348004
285,69.9327,60.2666,65.42,16.4731,3.6547274836935353
290,69.9669,60.2791,65.522,16.4569,3.7359305428028717
295,69.9148,60.278,65.436,16.4388,3.706805034818877
299,69.9793,60.3089,65.513,16.4849,3.7100101899399696

BEST(epoch 260),70.0148,60.2686,65.477,16.3891,3.8257897445414817
