epoch,SemSeg_mIoU,Human_mIoU,Saliency_mIoU,Normals_rmse,Delta_m_percent
0,3.8676,10.588,31.469,59.6887,-114.70868252419015
5,26.356,39.8949,55.538,24.0667,-35.3046936735186
10,58.409,49.7874,58.826,21.944,-15.117088349857344
15,64.16,53.4006,60.228,20.1027,-8.395535829665713
20,66.0441,54.2957,61.69,19.3944,-5.761775463951743
25,66.7169,55.7243,62.334,18.7153,-3.731826799707628
30,67.7947,56.3525,63.134,18.3686,-2.274224919127633
35,68.0002,56.6081,63.823,18.2892,-1.7078794781923936
40,68.7735,57.374,63.651,17.9339,-0.6857260195696709
45,68.8402,57.8985,63.977,17.9019,-0.2739523817926128
50,68.8497,57.5245,63.747,17.9301,-0.5528489754814877
55,68.657,58.2446,64.396,17.5023,0.5215469422543659
60,68.7247,58.7962,64.733,17.5827,0.7926711739401321
65,69.0349,58.9048,64.665,17.3263,1.2813357919050583
70,69.3553,58.7594,64.849,17.172,1.6302595771297779
75,69.0734,59.4206,64.92,17.1134,1.9023090145859085
80,69.4879,59.4285,65.2,17.081,2.2170235963743044
85,69.4059,59.2508,64.624,16.9824,2.0210067427685567
90,69.2505,59.4946,65.489,17.002,2.381185142179811
95,69.3357,59.4589,65.215,16.9661,2.3385461013428714
100,69.2829,59.8664,65.221,16.9647,2.487759873470958
105,69.1757,59.8007,64.99,17.0472,2.21396605745275
110,69.3021,59.793,65.383,17.1217,2.311807746113772
115,69.3238,59.9608,65.174,16.5244,3.134784387853532
120,69.3311,60.1249,65.508,16.8049,2.9474315927231993
125,69.1182,59.9961,65.341,16.6029,3.030308544303163
130,68.9098,60.0567,65.269,16.6844,2.8350007182598542
135,69.1511,60.193,65.377,16.7366,2.9504614001293135
140,69.2527,60.101,65.36,16.4435,3.3520612693467706
145,69.3014,60.1648,65.401,16.901,2.7758930100072456
150,69.0132,60.2536,65.296,16.5099,3.2065388620336304
155,69.0843,60.208,65.416,16.4613,3.330306104425451
160,68.8073,60.2855,64.883,16.5413,2.933546647513719
165,69.1539,60.3878,65.195,16.7711,2.909168281369989
170,69.1439,60.1789,65.272,16.6696,2.993201181582492
175,69.2206,60.4254,65.464,16.4501,3.503593495362816
180,69.061,60.2848,65.255,16.71,2.9420937303702464
185,69.1885,60.3837,65.497,16.4894,3.4333770849585097
190,69.0006,60.5646,65.208,16.4361,3.3947834648931576
195,69.0106,60.1659,65.16,16.3499,3.3382312066416397
200,69.1026,60.4914,65.405,16.2643,3.7211737913449916
205,69.0927,60.4933,65.429,16.2693,3.7209253562024784
210,69.126,60.5684,65.222,16.2516,3.7052535680598497
215,68.8939,60.6269,65.493,16.3334,3.6373950681770797
220,68.9291,60.4628,65.562,16.385,3.5401243000898988
225,69.0736,60.5032,65.494,16.2683,3.745270963962942
230,69.0867,60.5437,65.403,16.3049,3.6790870874141293
235,68.9811,60.52,65.422,16.3479,3.5780363234465096
240,69.0347,60.5353,65.442,16.2394,3.763115428195316
245,69.0207,60.5248,65.34,16.2791,3.6575401172188666
250,69.0239,60.5985,65.554,16.29,3.7591235201798425
255,69.0623,60.5828,65.413,16.2994,3.6974562714023995
260,68.9606,60.5697,65.423,16.1979,3.799556041937244
265,68.9511,60.5854,65.542,16.2628,3.7597852859992362
270,68.9964,60.5384,65.442,16.3254,3.630476598312318
275,68.9644,60.5532,65.388,16.2924,3.648805980044588
280,68.9768,60.5457,65.446,16.3053,3.6557000134166246

BEST(epoch 260),68.9606,60.5697,65.423,16.1979,3.799556041937244
