epoch,SemSeg_mIoU,Human_mIoU,Saliency_mIoU,Normals_rmse,Delta_m_percent
0,1.2925,3.7051,24.52,45.6903,-101.75664548402156
5,50.512,44.7331,56.708,23.0153,-22.434489884208546
10,63.6136,51.3806,59.689,20.9674,-10.833312047116117
15,65.399,54.3245,61.755,19.5223,-6.141979184071249
20,67.458,55.6887,62.59,18.8143,-3.505615238279863
25,67.8289,56.0842,63.354,18.7475,-2.808728204209052
30,68.2911,57.0733,63.394,18.1992,-1.4586853345454245
35,68.2417,57.295,64.436,18.0764,-0.7989213550168539
40,68.0076,58.063,64.322,17.7982,-0.23464747829413857
45,68.1934,58.1716,64.644,17.7648,0.05388027663068575
50,68.577,58.9469,64.936,17.5367,0.9439571433022816
55,68.4489,58.8942,64.984,17.6374,0.7541855536406414
60,68.731,59.0598,64.618,17.4174,1.085280984067077
65,68.6536,59.3418,64.758,17.5933,0.9817501420088856
70,68.5426,59.2234,65.064,17.5332,1.0989717862454804
75,68.5183,59.5622,65.283,17.1493,1.8485956018882164
80,68.5348,59.4864,65.236,17.3834,1.4796070977142928
85,68.6384,59.5091,65.211,17.0623,1.9639992940423754
90,68.3363,59.4445,64.839,17.2515,1.4131753423046491
95,68.6664,59.7564,65.218,17.1398,1.969233014212251
100,68.3465,59.5439,65.2,17.2329,1.6277192237314566
105,68.5892,59.6963,65.513,16.9839,2.2514289278028423
110,67.9586,59.7961,65.124,16.9467,1.9529316231772391
115,68.3389,59.79,65.305,17.0875,1.9686209222184141
120,68.4695,60.0407,65.348,16.8327,2.4901240414886345
125,68.1282,59.927,65.104,17.054,1.911563573536574
130,68.2009,59.8655,65.182,17.1052,1.8738244960976653
135,68.1002,59.9824,65.21,16.7654,2.3675169250325396
140,68.2119,60.0207,65.272,16.9175,2.2377837981206925
145,67.9002,59.9792,65.097,16.7569,2.258347975925545
150,68.0743,59.7538,65.025,16.9627,1.9169380532616873
155,68.0466,60.1628,65.231,16.6874,2.5373379708564285
160,67.9413,60.0458,65.354,16.5317,2.716868330375341
165,67.5403,59.9793,65.19,16.6934,2.2501480717481455
170,67.7456,60.021,65.489,16.6792,2.482989595725007
175,67.595,60.0249,65.252,16.7252,2.26952188873838
180,67.725,60.1243,65.464,16.6234,2.5846326768725283
185,67.509,59.9325,65.266,16.617,2.3563745550195576
190,67.8764,60.2076,65.471,16.8166,2.408600810548721
195,67.5551,59.9856,65.262,16.7213,2.24825099397665
200,67.6625,60.021,65.269,16.6967,2.3395211763996913
205,67.4305,60.1936,65.227,16.5614,2.494289901343735
210,67.5439,59.9333,65.326,16.6123,2.4002756135752117
215,67.416,60.1229,65.451,16.6105,2.4818633370353687
220,67.5029,60.0404,65.252,16.5519,2.4826169298330827
225,67.3021,60.1209,65.167,16.5808,2.366134335487038
230,67.3359,59.9754,65.374,16.4851,2.5361089623812836
235,67.4862,60.0504,65.163,16.5565,2.4383566719967678
240,67.4492,60.0643,65.331,16.4883,2.5924470371433737
245,67.3355,60.0613,65.385,16.5062,2.5456925280911307
250,67.3496,60.086,65.292,16.537,2.480769530375313
255,67.4667,60.0281,65.28,16.4964,2.552625353003102
260,67.4026,60.0744,65.337,16.5043,2.559336943727559
265,67.3725,60.0712,65.357,16.4472,2.6343061104598102
270,67.4198,60.0206,65.289,16.5275,2.4924945259623197
275,67.3816,60.0082,65.339,16.5058,2.523516999066415
280,67.3844,60.0407,65.35,16.5059,2.5419496266134938
285,67.3926,59.9971,65.276,16.4736,2.5426640447947806
290,67.3671,60.0259,65.336,16.4864,2.5510551602273988
295,67.4059,60.033,65.349,16.4969,2.5589585061095965
299,67.4204,60.032,65.271,16.4994,2.5291952880964343

BEST(epoch 160),67.9413,60.0458,65.354,16.5317,2.716868330375341
