epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
0,1.85,3.78,19.43,88.21,-162.714
5,19.10,31.40,52.13,25.00,-44.098
10,51.55,47.29,56.01,22.89,-21.122
15,61.35,50.55,57.63,21.83,-14.036
20,63.93,52.61,58.79,20.65,-10.138
25,65.30,53.76,59.73,19.91,-7.758
30,65.96,54.40,60.34,19.36,-6.244
35,66.89,54.86,60.93,19.19,-5.240
40,67.06,55.55,61.23,19.01,-4.527
45,67.47,55.89,61.04,18.73,-3.924
50,67.57,56.36,61.28,18.46,-3.225
55,68.22,56.70,62.01,18.40,-2.470
60,67.75,57.07,61.94,18.23,-2.287
65,68.11,57.09,61.84,18.36,-2.366
70,68.07,57.35,62.31,17.99,-1.573
75,68.20,57.71,62.07,17.95,-1.420
80,68.10,57.85,62.05,17.99,-1.464
85,68.19,57.74,61.96,17.79,-1.233
90,68.34,57.92,62.77,17.90,-0.933
95,68.40,58.06,63.05,17.71,-0.477
100,68.36,58.15,63.07,17.84,-0.629
105,68.53,58.14,62.87,17.63,-0.357
110,68.48,58.36,63.03,17.58,-0.154
115,68.64,58.50,63.28,17.50,0.174
120,68.56,58.33,63.31,17.48,0.116
125,68.60,58.68,63.39,17.44,0.359
130,68.61,58.34,63.39,17.52,0.115
135,68.73,58.67,63.21,17.37,0.429
140,68.54,58.53,63.35,17.53,0.135
145,68.64,58.88,63.66,17.31,0.744
150,68.64,58.65,63.16,17.32,0.437
155,68.71,58.83,63.54,17.49,0.451
160,68.61,58.90,63.44,17.35,0.597
165,68.59,59.02,63.76,17.30,0.836
170,68.60,58.90,63.65,17.28,0.775
175,68.67,58.95,63.47,17.38,0.610
180,68.65,58.96,63.64,17.34,0.730
185,68.58,59.04,63.73,17.39,0.703
190,68.52,59.06,63.59,17.34,0.702
195,68.55,59.15,63.62,17.18,0.984
200,68.45,59.02,63.82,17.22,0.919
205,68.50,59.23,63.74,17.02,1.269
210,68.45,59.04,63.71,17.15,0.981
215,68.56,59.20,63.48,17.12,1.036
220,68.58,59.16,63.69,17.18,1.028
225,68.61,59.20,63.83,17.10,1.222
230,68.54,59.21,63.58,17.13,1.059
235,68.52,59.10,63.67,17.21,0.931
240,68.40,59.17,63.72,17.06,1.144
245,68.62,59.17,63.70,17.22,0.995
250,68.52,59.15,63.78,17.23,0.968
255,68.56,59.25,63.58,17.12,1.096
260,68.53,59.22,63.75,17.12,1.141
265,68.56,59.24,63.65,17.12,1.120
270,68.54,59.21,63.73,17.09,1.174
275,68.63,59.20,63.64,17.13,1.112
280,68.56,59.20,63.80,17.14,1.136
285,68.61,59.16,63.73,17.12,1.138
290,68.53,59.21,63.71,17.10,1.149
295,68.54,59.19,63.70,17.08,1.168
299,68.62,59.22,63.70,17.07,1.224

BEST(epoch 205),68.50,59.23,63.74,17.02,1.269
