epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
220,72.6169,63.0761,65.963,16.9397,-5.376197788552103
225,72.6517,63.0512,66.215,16.8934,-5.206297521614382
230,72.6863,62.8829,65.981,16.8954,-5.348439540928539
235,72.7314,62.9974,66.033,16.9383,-5.340360197077214
240,72.7174,62.9812,66.237,16.8792,-5.180268104855354
245,72.6537,62.9293,66.082,16.8836,-5.285131429971809
250,72.6613,62.9358,66.312,16.8659,-5.166450392294841
255,72.7448,62.9369,66.021,16.8464,-5.215312696098848
260,72.6614,62.96,66.151,16.8875,-5.25174808919365
265,72.7305,62.997,66.044,16.9088,-5.289237809733511
270,72.7276,62.9606,66.084,16.9095,-5.2902049576604915
275,72.7142,63.007,66.096,16.8656,-5.201959255326302
280,72.6895,63.0086,66.158,16.9039,-5.2480751966997055
285,72.6699,63.0329,66.066,16.8891,-5.255579245499358
290,72.6937,63.0138,66.116,16.8684,-5.203168211796398
295,72.6854,62.9921,66.102,16.8603,-5.206204288876141
299,72.67,62.9854,66.077,16.8859,-5.264225954453784

BEST(epoch 255),72.5201,63.2151,66.104,16.7519,-5.000744805843707
