epoch,SemSeg_mIoU,Human_mIoU,Saliency_mIoU,Normals_rmse,Delta_m_percent
0,2.8493,10.1498,31.771,61.2795,-117.35639365258233
0,2.846,10.1431,31.738,61.2638,-117.35171561244435
5,24.9074,37.9459,54.879,24.3933,-37.34890512576116
10,58.4112,50.3663,58.686,22.3901,-15.559331174417357
15,64.6079,52.8102,60.31,20.3326,-8.754224470735847
20,66.4009,54.5083,61.474,19.2729,-5.460810554744322
25,67.5087,55.6693,62.522,18.7883,-3.4856819003565604
30,68.54,55.977,62.91,18.4623,-2.3687509663226294
35,69.0065,56.8799,63.585,17.9611,-0.8628207940434592
40,68.6947,57.0593,63.704,18.1722,-1.1523494870347717
45,69.2774,57.8765,64.599,17.8019,0.26831054632171364
50,69.3672,58.1959,64.858,17.7948,0.5443760210383843
55,69.5767,58.522,64.961,17.5514,1.1338630146956075
60,69.5238,58.5925,64.931,17.377,1.3732431650248527
65,69.5081,58.8755,65.317,17.3577,1.6632669037983236
70,69.6662,58.9016,65.57,17.5118,1.6196695840542348
75,69.6949,59.146,65.333,17.079,2.2360914240820042
80,69.7013,59.1919,65.452,16.9671,2.4603916482581747
85,69.789,59.3614,65.681,16.9628,2.6592398704994897
90,69.8028,59.6314,65.456,16.8992,2.7716313424082073
95,69.7263,59.5024,65.809,16.9777,2.7234307333088443
100,69.7407,59.6992,65.556,16.6033,3.227656262450365
105,69.8669,59.8572,65.37,16.9104,2.836561536977196
110,70.0036,59.8136,65.618,16.8281,3.0837441439738713
115,69.785,59.846,65.367,16.7832,2.9773348024343553
120,69.9129,60.0683,65.853,16.9301,3.1051472731067946
125,70.0817,59.9978,65.589,16.57,3.5345957931333336
130,69.9407,60.2606,65.81,16.5346,3.726097177173625
135,70.0788,60.3828,65.678,16.7891,3.419806558720827
140,69.6552,60.4337,65.657,16.4351,3.7668553831524294
145,69.9969,60.2696,65.613,16.5616,3.6340827593244667
150,69.7117,60.3506,65.625,16.6468,3.446976225927026
155,69.7384,60.3807,65.836,16.421,3.867796315373859
160,69.8099,60.2928,65.674,16.4411,3.7659892832605486
165,69.8687,60.2659,65.789,16.2939,4.027898413774813
170,69.6668,60.5962,65.532,16.7081,3.40684851854704
175,69.7931,60.4822,65.917,16.4605,3.906641918067392
180,69.7354,60.437,65.421,16.3221,3.860598752761537
185,69.5944,60.4442,65.654,16.44,3.7404585534973336
190,69.7759,60.5318,65.995,16.2832,4.198202828754698
195,69.7931,60.5439,65.387,16.4254,3.767870432889918
200,69.7537,60.522,65.654,16.2388,4.111030518035681
205,69.7073,60.5244,65.679,16.2173,4.134675037863959
210,69.8668,60.5595,65.782,16.2368,4.222343800387663
215,69.6585,60.5723,65.702,16.1768,4.201425364278146
220,69.6395,60.6639,65.689,16.0907,4.345905657548144
225,69.5833,60.63,65.656,16.1601,4.201534663389205
230,69.7081,60.5898,65.69,16.3689,3.9548769057687685
235,69.6373,60.6395,65.672,16.1767,4.208777286364061
240,69.7066,60.6483,65.71,16.2075,4.210494472970929
245,69.7514,60.5551,65.632,16.2491,4.100386241987037
250,69.6558,60.6676,65.858,16.1649,4.317997393984166
255,69.6958,60.6084,65.768,16.2841,4.107059632984942
260,69.6991,60.6287,65.632,16.2148,4.158361675261825
265,69.6347,60.5829,65.694,16.187,4.1794535240334065
270,69.651,60.6226,65.703,16.1811,4.2133595538879325
275,69.7072,60.6625,65.694,16.2058,4.212399588337195
280,69.6744,60.5792,65.746,16.1351,4.285780762832389
285,69.6586,60.6084,65.763,16.1845,4.229781868623694
290,69.7249,60.6243,65.762,16.2549,4.162519939277068
295,69.6348,60.6386,65.768,16.2585,4.13217565444288
299,69.6776,60.613,65.768,16.2256,4.183532385053546

BEST(epoch 220),69.6395,60.6639,65.689,16.0907,4.345905657548144
