epoch,SemSeg_mIoU,Normals_mean,Depth_rmse,Delta_m_percent
25,28.1918,30.042,0.7515,-26.285779267389426
30,31.211,29.1518,0.7329,-21.54943058661377
35,33.7871,28.867,0.7268,-18.706006428425187
40,35.5915,28.5008,0.7183,-16.25225750754188
45,37.2649,28.1867,0.74,-15.554452190255468
50,38.1281,28.0432,0.7077,-12.95608680995658
55,39.0317,27.8085,0.7104,-12.015163226077187
60,39.6676,27.6349,0.6917,-10.267838880459438
65,40.105,27.5295,0.7159,-11.01663083314279
70,40.4539,27.2988,0.6902,-9.057203803943791
75,40.6536,27.2202,0.7101,-9.81584467995583
80,40.8376,27.0244,0.6825,-7.943324439461741
85,40.9946,26.9765,0.6779,-7.505488862395699
90,41.1231,26.9029,0.6966,-8.267270163205547
95,41.3038,26.8115,0.6879,-7.533332908848782
100,41.4167,26.7418,0.6779,-6.818774226855787
105,41.795,26.5674,0.7182,-8.354439725693508
110,41.7978,26.4591,0.6719,-5.783523854380359
115,41.8065,26.4011,0.6834,-6.29118036133017
120,41.9192,26.5515,0.6664,-5.531604466349411
125,41.6922,26.301,0.6832,-6.229228696074508
130,42.1769,26.2406,0.6795,-5.551411829461674
135,42.2702,26.1475,0.6713,-4.912717972535079
140,42.1315,26.2445,0.665,-4.8390914243545975
145,42.3639,26.0181,0.6696,-4.559560373683839
150,42.2768,26.1067,0.6623,-4.379348256246492
155,42.0747,26.0548,0.6906,-5.943714617734989
160,42.2412,25.9471,0.6602,-4.067559104982647
165,42.1039,25.9499,0.6555,-3.9394178351203366
170,42.3325,25.9162,0.6589,-3.880142925898675
175,42.3469,25.8392,0.6646,-4.053469857157215
180,42.3928,25.7936,0.6587,-3.6423665446248488
185,42.5699,25.7399,0.6665,-3.825465360566209
190,42.4785,25.7998,0.6538,-3.325880751324934
195,42.5636,25.7383,0.6585,-3.4116428764554256
200,42.4105,25.7529,0.658,-3.532331520801062
205,42.6012,25.6988,0.6551,-3.146406091278479
210,42.5387,25.6778,0.6529,-3.052598738452017
215,42.6176,25.6745,0.6563,-3.1601945697705727
220,42.587,25.6664,0.6528,-2.9912406916842333
225,42.5838,25.632,0.6533,-2.96998619884164
230,42.6234,25.636,0.6586,-3.219360213546628
235,42.6428,25.6201,0.6595,-3.227253480237783
240,42.623,25.5878,0.6509,-2.7487002433830448
245,42.6734,25.5853,0.662,-3.2818689096229234
250,42.6723,25.5941,0.6535,-2.8528328653851407
255,42.6581,25.5811,0.6554,-2.9445701286845263
260,42.6835,25.5685,0.6523,-2.743998867870152
265,42.6286,25.5622,0.6527,-2.8007082917885113
270,42.6137,25.5742,0.6519,-2.7886737655877885
275,42.6136,25.5498,0.6543,-2.8783472625622024
280,42.6098,25.5496,0.6602,-3.1884647267511017
285,42.636,25.5635,0.6534,-2.8329850830887477
290,42.677,25.5589,0.6532,-2.7822727065429143
295,42.6138,25.5496,0.652,-2.7581013606174434
299,42.6468,25.5663,0.6566,-2.9948589321276278

BEST(epoch 260),42.6835,25.5685,0.6523,-2.743998867870152
