epoch,SemSeg_mIoU,Human_mIoU,Saliency_mIoU,Normals_rmse,Delta_m_percent
0,1.2725,2.3433,32.549,50.6654,-106.0158888124014
5,28.2281,38.7435,55.374,24.5975,-35.87734128755319
10,59.9141,50.2428,58.744,22.2747,-14.866353287592021
15,65.1069,53.3435,60.118,20.5684,-8.758360334195702
20,66.3863,54.4339,61.878,19.274,-5.335816758739644
25,67.8313,55.208,62.532,18.7827,-3.5401028016233287
30,68.7863,55.8731,63.793,18.4032,-1.8828075644834956
35,68.8615,56.825,63.936,17.9905,-0.8390820706948375
40,69.1863,57.6214,64.559,17.8501,0.04835035268404308
45,69.4677,57.6132,64.926,17.7541,0.4304211817284088
50,69.8626,58.1057,64.733,17.5031,1.0479320754625896
55,69.6197,58.1715,64.959,17.3464,1.2927628928269308
60,69.713,58.6413,65.009,17.6915,1.0570595379660284
65,69.6633,58.6594,65.582,17.1491,2.030221730517561
70,69.9097,59.024,65.188,17.3518,1.829080136912719
75,69.6345,59.0513,65.919,17.606,1.677193408997037
80,69.75,59.1959,65.604,16.8221,2.7427926068566624
85,69.7155,59.3749,65.775,17.2345,2.2970492510055953
90,69.8526,59.4504,65.336,16.8113,2.791260674416364
95,69.9008,59.6906,65.962,17.0516,2.8228490957388646
100,69.9326,59.5194,65.539,16.7289,3.0449030321788264
105,69.9342,59.8788,65.802,16.8824,3.082484065810618
110,69.8334,59.9192,65.646,16.6965,3.257373747640728
115,69.8915,60.1163,65.87,16.575,3.6173980304911977
120,69.995,60.1267,65.789,16.6743,3.4894701955963905
125,69.8311,59.9369,66.035,16.8283,3.2362765650116745
130,69.8798,59.9665,65.887,16.4634,3.714649623332596
135,69.9017,60.1838,65.534,16.5155,3.596494129431184
140,69.8465,60.1626,65.855,16.5735,3.615422283599487
145,69.7455,60.0293,65.834,16.532,3.573357620936364
150,69.9722,60.3767,65.627,16.6866,3.499841961533868
155,69.957,60.558,65.785,16.7041,3.6063814231750255
160,69.9488,60.1718,65.714,16.4318,3.7977869540212135
165,69.9233,60.5155,65.92,16.5691,3.8186325526838942
170,70.0459,60.4291,66.04,16.2594,4.308330258364354
175,69.94,60.4603,65.845,16.3347,4.098588083686469
180,69.9653,60.3164,65.485,16.695,3.4043105886211733
185,69.8457,60.4046,65.816,16.3083,4.06612636722555
190,69.8651,60.3761,65.878,16.3268,4.060959953558106
195,69.7882,60.537,65.673,16.3475,3.986312674665689
200,69.6717,60.272,65.742,16.2077,4.058159949172172
205,69.7468,60.4492,65.786,16.1596,4.242186581209702
210,69.6312,60.4525,65.822,16.4656,3.7892443040563495
215,69.752,60.5191,65.548,16.181,4.1471372877169665
220,69.8336,60.4324,65.699,16.3848,3.919507927525532
225,69.7156,60.518,65.701,16.3689,3.9330929174469467
230,69.8402,60.4609,65.645,16.2337,4.122027343092494
235,69.8812,60.6091,65.71,16.2875,4.1483192423445265
240,69.8309,60.5917,65.758,16.4081,3.9740517276685927
245,69.8367,60.6029,65.668,16.1673,4.279646552926798
250,69.8335,60.6581,65.813,16.2307,4.270676451919661
255,69.7415,60.6341,65.744,16.341,4.045650401917903
260,69.7548,60.6031,65.709,16.3059,4.072881158350577
265,69.8695,60.6006,65.785,16.2319,4.247959232006909
270,69.8395,60.6134,65.622,16.1879,4.237823579011067
275,69.8334,60.5936,65.8,16.2032,4.277647491524295
280,69.8273,60.6369,65.657,16.2327,4.1944796626501315
285,69.8504,60.6094,65.726,16.2493,4.19654324439616
290,69.8285,60.6316,65.712,16.256,4.182424303132493
295,69.8201,60.6501,65.756,16.2168,4.258945555540679
299,69.8208,60.6332,65.704,16.2743,4.151539239560731

BEST(epoch 170),70.0459,60.4291,66.04,16.2594,4.308330258364354
