epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
0,1.85,3.78,19.43,88.22,-162.728
5,19.20,31.45,52.20,24.98,-43.985
10,51.37,47.29,55.98,22.89,-21.201
15,61.33,50.51,57.62,21.81,-14.036
20,63.96,52.60,58.81,20.61,-10.067
25,65.26,53.79,59.78,19.90,-7.727
30,65.92,54.39,60.33,19.36,-6.267
35,66.88,54.87,60.93,19.18,-5.225
40,67.06,55.54,61.24,18.99,-4.499
45,67.46,55.91,61.01,18.72,-3.918
50,67.60,56.36,61.27,18.46,-3.218
55,68.22,56.70,62.01,18.40,-2.470
60,67.78,57.09,61.94,18.23,-2.268
65,68.11,57.09,61.85,18.37,-2.376
70,68.09,57.36,62.32,17.99,-1.557
75,68.26,57.72,62.09,17.95,-1.385
80,68.14,57.83,62.06,17.98,-1.439
85,68.23,57.72,61.96,17.78,-1.212
90,68.37,57.92,62.79,17.90,-0.913
95,68.43,58.06,63.06,17.73,-0.490
100,68.41,58.15,63.08,17.85,-0.620
105,68.54,58.13,62.90,17.63,-0.346
110,68.51,58.36,63.00,17.58,-0.154
115,68.67,58.52,63.28,17.50,0.193
120,68.60,58.33,63.32,17.47,0.148
125,68.64,58.67,63.42,17.45,0.368
130,68.64,58.33,63.37,17.52,0.114
135,68.78,58.66,63.20,17.38,0.426
140,68.58,58.52,63.33,17.53,0.138
145,68.67,58.89,63.65,17.31,0.755
150,68.68,58.66,63.17,17.33,0.446
155,68.77,58.83,63.55,17.49,0.478
160,68.64,58.90,63.46,17.36,0.602
165,68.64,59.03,63.72,17.31,0.829
170,68.63,58.89,63.66,17.28,0.786
175,68.70,58.95,63.44,17.38,0.609
180,68.68,58.97,63.64,17.33,0.760
185,68.61,59.06,63.76,17.39,0.734
190,68.55,59.08,63.58,17.34,0.718
195,68.59,59.17,63.68,17.18,1.031
200,68.48,59.02,63.72,17.22,0.890
205,68.54,59.23,63.70,17.02,1.268
210,68.49,59.03,63.70,17.16,0.974
215,68.59,59.20,63.49,17.12,1.051
220,68.62,59.18,63.69,17.18,1.051
225,68.65,59.21,63.77,17.11,1.203
230,68.58,59.22,63.60,17.13,1.085
235,68.55,59.11,63.65,17.22,0.925
240,68.44,59.17,63.63,17.05,1.137
245,68.67,59.18,63.69,17.22,1.014
250,68.58,59.16,63.74,17.23,0.978
255,68.61,59.26,63.62,17.12,1.135
260,68.58,59.22,63.75,17.12,1.159
265,68.61,59.25,63.60,17.12,1.123
270,68.58,59.22,63.68,17.09,1.173
275,68.67,59.20,63.63,17.13,1.123
280,68.60,59.20,63.73,17.14,1.123
285,68.65,59.17,63.65,17.12,1.125
290,68.57,59.22,63.68,17.09,1.169
295,68.59,59.20,63.67,17.08,1.179
299,68.66,59.23,63.65,17.07,1.223

BEST(epoch 205),68.54,59.23,63.70,17.02,1.268
