epoch,SemSeg_mIoU,Human_mIoU,Saliency_mIoU,Normals_rmse,Delta_m_percent
0,1.8675,6.1957,33.803,42.778,-92.76360736781966
5,24.9765,38.6442,55.739,24.0673,-36.24295000744539
10,58.9463,49.8679,58.692,22.2772,-15.402012642197938
15,64.543,53.1048,60.432,20.367,-8.658380769899184
20,67.0595,54.1484,61.79,19.5926,-5.679182097835592
25,67.9218,55.2648,62.808,18.9817,-3.649695251374617
30,68.7534,56.6476,62.475,18.3038,-1.9725762378317997
35,68.8619,56.7642,63.702,18.1933,-1.2394391983889066
40,68.9045,57.6035,64.323,18.1128,-0.5237935919397311
45,69.3706,57.9882,64.408,17.9392,0.08047263832493445
50,69.5606,57.7769,64.458,17.3725,0.8742941725246991
55,69.649,58.3963,64.993,17.4687,1.2378972198352927
60,69.6281,58.7891,64.775,17.2399,1.6195877102413314
65,69.9768,58.976,65.146,17.557,1.5323462947466275
70,69.7415,59.0702,65.644,17.2122,2.1622165209106607
75,70.0636,58.9922,65.592,16.9206,2.635366484790474
80,69.9873,58.9638,65.718,16.9886,2.551439871124941
85,70.0373,59.4775,65.724,16.9242,2.8694090608033025
90,70.1124,59.4068,65.463,16.8573,2.8572242280281532
95,69.9015,59.7012,65.557,16.7011,3.152617015642545
100,69.7901,59.5768,65.458,16.7488,2.9549058718269636
105,69.8907,59.9267,65.618,16.8236,3.0936657254694095
110,69.8235,59.6062,65.881,16.7593,3.134197234097739
115,69.9542,59.8953,65.314,16.794,3.0238973229248782
120,69.7404,59.9525,65.805,16.569,3.4773552497715605
125,69.8936,60.2215,65.819,16.5107,3.7296520348899924
130,69.8055,60.0519,65.389,16.5446,3.4088414888723135
135,69.9751,60.137,65.324,16.4562,3.6032008402133644
140,69.9647,60.2508,65.496,16.4034,3.787692608446204
145,69.8273,60.2468,65.803,16.5423,3.664826113951205
150,69.9465,60.189,65.648,16.4446,3.759603780374273
155,69.6124,60.4791,65.478,16.3732,3.783605771800283
160,69.9678,60.4092,65.532,16.2299,4.108598028518137
165,70.0115,60.4655,65.875,16.2938,4.196212231386788
170,69.8247,60.4156,65.58,16.277,4.011673218794249
175,69.8908,60.2769,65.839,16.3349,4.003568019194072
180,69.917,60.3067,65.747,16.2967,4.041598900359541
181,69.917,60.3067,65.747,16.2967,4.041598900359541
0,69.9065,60.4317,65.832,16.3732,4.015807845903066
5,69.9069,60.3612,65.555,16.323,3.94626914235852
10,69.4345,60.2163,65.652,16.3544,3.7072672092630494
15,69.5503,60.3065,65.548,16.344,3.759521713261562
20,69.6723,60.3895,65.344,16.3841,3.700823701200108
25,69.4866,60.3873,65.736,16.2756,3.9389843057413443
30,69.4939,60.4909,65.885,16.3211,3.9799645265189745
35,69.2897,60.4758,65.65,16.5533,3.4806484357156386
40,69.4224,60.3819,65.358,16.2778,3.758299640629698
45,69.1453,60.7057,65.333,16.2301,3.8422758187373716
50,69.2878,60.5723,65.133,16.4898,3.3999411342736403
55,69.3773,60.2926,65.621,16.1329,4.01251416251874
60,69.1477,60.5164,65.584,16.2906,3.783225102523718
65,69.3797,60.7137,65.247,16.3652,3.7102597766031504
70,69.3254,60.5113,65.226,16.1342,3.9213054781537555
75,69.1641,60.5266,65.454,16.281,3.7546734297085176
80,69.1529,60.6239,65.617,16.0938,4.1155765135482
85,69.3627,60.3441,65.872,16.0896,4.188753851605043
90,69.3088,60.7642,65.45,16.1671,4.061266700674699
95,69.2838,60.5827,65.497,15.9196,4.3418683848791355
100,69.4076,60.9393,65.375,16.3976,3.8179563105078307
105,69.1763,60.8439,65.445,15.9302,4.3717265630688775
110,68.9426,60.7049,65.685,16.0429,4.168127656947894
115,68.9448,60.8559,65.939,15.8859,4.550165920351816
119,68.9395,60.8261,65.405,15.9121,4.2856012649833835
0,1.8764,6.215,33.809,42.7224,-92.67274887948795
5,25.0605,38.6534,55.721,24.064,-36.21061712314897
10,58.934,49.8823,58.688,22.3041,-15.439802172347864
15,64.5743,53.091,60.437,20.3627,-8.644321958850329
20,67.0611,54.157,61.797,19.6186,-5.708479947356508
25,67.9255,55.2562,62.81,19.0096,-3.6898033961696415
